Company,30/12/1991,31/01/1992,28/02/1992,31/03/1992,30/04/1992,29/05/1992,30/06/1992,31/07/1992,31/08/1992,30/09/1992,30/10/1992,30/11/1992,31/12/1992,29/01/1993,26/02/1993,31/03/1993,30/04/1993,28/05/1993,30/06/1993,30/07/1993,31/08/1993,30/09/1993,29/10/1993,30/11/1993,31/12/1993,31/01/1994,28/02/1994,31/03/1994,29/04/1994,30/05/1994,30/06/1994,29/07/1994,31/08/1994,30/09/1994,31/10/1994,30/11/1994,30/12/1994,31/01/1995,28/02/1995,31/03/1995,28/04/1995,31/05/1995,30/06/1995,31/07/1995,31/08/1995,29/09/1995,31/10/1995,30/11/1995,29/12/1995,31/01/1996,29/02/1996,29/03/1996,30/04/1996,31/05/1996,28/06/1996,31/07/1996,30/08/1996,30/09/1996,31/10/1996,29/11/1996,31/12/1996,31/01/1997,28/02/1997,27/03/1997,30/04/1997,30/05/1997,30/06/1997,31/07/1997,29/08/1997,30/09/1997,31/10/1997,28/11/1997,31/12/1997,30/01/1998,27/02/1998,31/03/1998,30/04/1998,29/05/1998,30/06/1998,31/07/1998,31/08/1998,30/09/1998,30/10/1998,30/11/1998,31/12/1998,29/01/1999,26/02/1999,31/03/1999,30/04/1999,31/05/1999,30/06/1999,30/07/1999,31/08/1999,30/09/1999,29/10/1999,30/11/1999,29/12/1999,31/01/2000,29/02/2000,31/03/2000,28/04/2000,31/05/2000,30/06/2000,31/07/2000,31/08/2000,29/09/2000,31/10/2000,30/11/2000,29/12/2000,31/01/2001,28/02/2001,30/03/2001,30/04/2001,31/05/2001,29/06/2001,31/07/2001,31/08/2001,28/09/2001,31/10/2001,30/11/2001,31/12/2001,31/01/2002,28/02/2002,28/03/2002,30/04/2002,31/05/2002,28/06/2002,31/07/2002,30/08/2002,30/09/2002,31/10/2002,29/11/2002,31/12/2002,31/01/2003,28/02/2003,31/03/2003,30/04/2003,30/05/2003,30/06/2003,31/07/2003,29/08/2003,30/09/2003,31/10/2003,28/11/2003,31/12/2003,30/01/2004,27/02/2004,31/03/2004,30/04/2004,31/05/2004,30/06/2004,30/07/2004,31/08/2004,30/09/2004,29/10/2004,30/11/2004,31/12/2004,31/01/2005,28/02/2005,31/03/2005,29/04/2005,31/05/2005,30/06/2005,29/07/2005,31/08/2005,30/09/2005,31/10/2005,30/11/2005,30/12/2005,31/01/2006,28/02/2006,31/03/2006,28/04/2006,31/05/2006,30/06/2006,31/07/2006,31/08/2006,29/09/2006,31/10/2006,30/11/2006,29/12/2006,31/01/2007,28/02/2007,30/03/2007,30/04/2007,31/05/2007,29/06/2007,31/07/2007,31/08/2007,28/09/2007,31/10/2007,30/11/2007,31/12/2007,31/01/2008,29/02/2008,31/03/2008,30/04/2008,30/05/2008,30/06/2008,31/07/2008,29/08/2008,30/09/2008,31/10/2008,28/11/2008,31/12/2008,30/01/2009,27/02/2009,31/03/2009,30/04/2009,29/05/2009,30/06/2009,31/07/2009,31/08/2009,30/09/2009,30/10/2009,30/11/2009,31/12/2009,29/01/2010,26/02/2010,31/03/2010,30/04/2010,31/05/2010,30/06/2010,30/07/2010,31/08/2010,30/09/2010,29/10/2010,30/11/2010,31/12/2010,31/01/2011,28/02/2011,31/03/2011,29/04/2011,31/05/2011,30/06/2011,29/07/2011,31/08/2011,30/09/2011,31/10/2011,30/11/2011,30/12/2011,31/01/2012,29/02/2012,30/03/2012,30/04/2012,31/05/2012,29/06/2012,31/07/2012,31/08/2012,28/09/2012,31/10/2012,30/11/2012,31/12/2012,31/01/2013,28/02/2013,28/03/2013,30/04/2013,31/05/2013,28/06/2013,31/07/2013,30/08/2013,30/09/2013,31/10/2013,29/11/2013,31/12/2013,31/01/2014,28/02/2014,31/03/2014,30/04/2014,30/05/2014,30/06/2014,31/07/2014,29/08/2014,30/09/2014,31/10/2014,28/11/2014,31/12/2014,30/01/2015,27/02/2015,31/03/2015,30/04/2015,29/05/2015,30/06/2015,31/07/2015,31/08/2015,30/09/2015,30/10/2015,30/11/2015,31/12/2015,29/01/2016,29/02/2016,31/03/2016,29/04/2016,31/05/2016,30/06/2016,29/07/2016,31/08/2016,30/09/2016,31/10/2016
AAA-JSE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABC-JSE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABI-JSE,9.86,9.34,9.51,10.20,10.20,11.48,11.41,10.71,11.27,11.76,11.94,14.05,14.45,14.45,14.98,13.39,13.04,13.39,13.61,13.35,13.07,12.53,12.89,14.86,15.47,13.13,14.39,13.49,14.03,14.80,14.43,14.43,14.25,13.52,14.62,15.06,15.43,14.88,15.61,15.79,15.79,15.72,16.10,16.47,13.48,13.66,12.35,13.75,13.56,14.12,14.31,13.56,13.56,13.71,14.27,15.12,14.65,14.65,15.43,13.27,13.98,14.44,16.31,17.55,16.69,22.13,24.77,26.11,28.01,27.10,26.91,25.32,27.04,34.79,33.48,38.57,35.78,44.53,41.52,42.32,28.82,26.40,32.85,29.78,30.79,26.34,27.96,31.60,33.22,33.96,41.00,39.34,38.52,35.45,37.69,38.83,43.70,43.28,38.70,34.71,32.88,35.37,37.52,34.11,35.86,34.45,33.26,35.52,36.47,39.04,38.18,32.60,34.32,38.95,41.06,43.18,42.39,37.10,41.95,42.69,39.50,38.65,38.88,38.43,41.94,42.16,44.38,40.18,38.17,38.34,40.18,43.83,44.19,43.27,44.65,41.89,45.11,46.95,51.92,55.01,57.16,57.16,59.44,63.35,64.20,64.34,67.17,68.61,66.02,66.41,66.56,80.86,83.43,88.16,89.42,90.50,91.95,91.95,91.95,91.95,91.95,91.95,91.95,91.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABL-JSE,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.06,0.07,0.09,0.11,0.10,0.12,0.14,0.19,0.25,0.26,0.27,0.34,0.35,0.35,0.37,0.39,0.42,0.44,0.43,0.51,0.55,0.64,0.67,0.73,0.88,0.73,0.81,0.97,1.27,1.90,2.05,2.00,1.71,1.84,2.22,3.64,4.44,4.43,6.78,7.38,7.29,8.26,4.20,5.06,6.43,5.20,5.85,5.56,5.32,6.14,6.14,5.53,6.36,5.61,3.70,2.82,2.97,3.48,3.71,4.09,3.87,4.05,4.28,4.09,2.59,2.38,2.18,1.90,1.75,1.52,1.56,2.02,2.05,2.22,2.54,2.44,2.71,2.43,2.41,2.31,2.59,2.41,2.62,2.27,1.77,1.60,2.26,2.11,1.84,1.78,1.77,1.61,1.70,1.81,1.79,1.95,2.04,1.84,1.75,1.95,2.04,2.32,2.39,2.39,2.72,3.13,3.60,3.68,4.13,4.55,4.04,4.42,4.63,4.56,4.65,5.10,5.61,6.75,7.66,7.03,7.28,6.99,6.78,6.90,8.05,8.60,9.06,9.45,8.90,10.06,11.38,13.18,13.47,13.99,15.61,13.28,13.42,11.87,12.19,10.60,13.18,13.56,14.32,14.52,13.82,15.18,17.05,15.78,15.44,17.09,16.26,16.17,18.64,18.03,17.70,14.75,16.68,14.29,14.24,13.14,13.20,15.52,15.52,14.10,14.88,15.24,14.945878,15.29481,12.241663,14.6551,15.742604,15.120342,16.67065,17.99133,17.319,17.70919,18.48959,17.337,18.49817,18.42989,19.22445,22.09849,22.06745,19.5224,19.31358,21.37446,20.67261,22.87386,22.93128,22.41447,25.38262,23.90879,23.45026,24.79964,25.08785,23.31926,23.10488,22.62157,23.87012,22.15169,23.11831,23.38681,23.69325,25.21294,27.14017,27.53391,26.83624,25.0886,25.67,25.8043,22.97643,23.36526,20.72828,22.41086,23.60351,22.61392,21.11121,22.20342,20.88397,11.728451,12.131989,10.816204,12.139423,12.414475,12.637489,12.41,12.05,10.7,10.2,10.75,12.47,8.4,6.79,6.16,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0,0,0,0,0
ABR-JSE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABT-JSE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACG-JSE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3792,5.998352,6.88806,6.88806,10.236422,9.480649,9.853753,11.512346,10.912543,9.867726,12.895764,12.680607,12.768396,14.182772,17.53826,16.97251,14.631471,14.221788,14.826556,14.338841,12.814738,12.972579,11.82823,12.5,12,11.17
ACL-JSE,0.93,0.91,0.79,0.80,0.71,0.79,0.67,0.55,0.49,0.40,0.35,0.35,0.31,0.40,0.38,0.41,0.57,0.55,0.70,0.74,0.74,0.69,0.82,0.94,1.29,1.28,1.37,1.68,1.86,1.79,1.89,2.16,2.21,2.55,2.59,2.59,2.59,2.30,2.41,2.57,2.55,2.50,2.35,2.42,2.39,2.30,2.16,1.92,1.91,1.87,1.91,2.22,2.33,1.97,2.00,1.74,1.59,1.83,2.03,2.06,2.04,2.17,2.10,2.22,1.90,1.87,1.85,2.03,1.78,1.86,1.56,1.33,0.90,1.11,1.03,0.87,1.02,0.94,0.70,0.88,0.79,0.89,0.96,0.92,0.72,0.76,0.72,1.04,1.28,1.03,1.28,1.47,1.53,1.60,1.64,1.41,1.61,1.81,1.23,1.21,1.04,1.08,0.80,1.02,1.12,1.04,0.83,0.70,0.86,1.19,1.38,1.50,1.68,1.86,2.00,1.79,2.02,1.73,2.13,4.02,5.77,5.39,7.78,8.81,10.73,9.91,12.76,12.18,13.13,11.93,13.64,12.40,12.55,13.41,10.96,10.04,9.05,9.88,9.88,10.44,12.79,13.17,14.92,15.15,18.69,19.79,22.32,23.97,22.05,22.97,25.55,25.02,31.12,30.78,35.75,43.16,43.36,40.27,44.47,44.75,35.37,35.59,33.12,38.46,33.93,41.87,39.07,41.77,45.28,52.41,45.03,47.92,52.99,47.70,56.59,52.99,58.87,60.57,67.90,70.45,75.81,83.41,83.67,92.76,100.63,99.53,100.16,97.88,107.54,119.34,130.80,123.86,122.29,129.90,167.53,178.37,207.25,226.36,201.91,177.47,167.89,151.29,84.41,79.33,81.59245,74.67393,68.21664,71.087,77.797,92.31588,92.87019,97.24627,113.58364,116.69552,103.56728,99.87191,100.16366,102.49757,113.45722,90.01114,82.75658,77.11629,73.80019,82.71767,81.62609,81.56665,79.6944,74.34513,78.47596,81.22985,89.32311,89.15471,88.9566,81.03173,78.24812,68.16373,62,59.39,67.45,61.51,68.58,68.19,65.2,55.96,59,52.55,52.4,44.7,40.6,41,33.4,31,36,35.05,28.95,28.44,22.99,29,32,33.44,32.8,35.35,39.56,40.91,37.3,38.15,40.22,33.51,37,36,31.06,38,39.36,37.19,32.56,27.25,26.41,24.85,26,18.88,19.74,15.49,12.15,14.62,9.96,8.55,8.23,5.75,4.5,6,7.2,7.8,10.1,8.75,8.39,8.5,7.54,8.9,11.5
ACN-JSE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.39,0.42,0.47,0.51,0.47,0.48,0.46,0.71,0.43,0.40,0.39,0.34,0.25,0.24,0.26,0.43,0.37,0.39,0.43,0.41,0.42,0.32,0.27,0.25,0.25,0.19,0.20,0.20,0.19,0.17,0.18,0.16,0.13,0.08,0.08,0.07,0.07,0.11,0.08,0.07,0.07,0.05,0.06,0.05,0.06,0.06,0.07,0.09,0.09,0.11,0.06,0.06,0.06,0.06,0.06,0.06,0.07,0.06,0.06,0.08,0.07,0.08,0.10,0.09,0.11,0.12,0.10,0.07,0.08,0.08,0.09,0.12,0.11,0.10,0.10,0.10,0.10,0.09,0.10,0.10,0.11,0.20,0.20,0.20,0.20,0.25,0.20,0.21,0.29,0.30,0.21,0.27,0.33,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACP-JSE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.41,2.86,3.27,3.27,3.29,3.31,3.27,3.24,3.42,3.57,3.46,3.57,3.86,4.17,3.82,4.31,4.39,4.45,4.35,4.88,5.13,5.72,5.42,5.31,5.25,5.29,5.25,5.33,5.59,5.72,6.07,6.07,6.76,7.29,7.16,7.54,7.63,7.72,8.45,9.05,9.42,10.42,10.89,10.89,10.44,11.29,11.78,12.62,13.35,13.89,13.43,11.15,11.15,12.17,12.43,12.80,13.95,14.14,15.37,15.63,16.56,17.31,17.73,16.75,16.74,16.59,17.20,18.97,17.61,18.15,16.60,16.21,15.73,14.25,13.00,12.52,14.56,15.75,15.27,13.99,15.44,16.98734,17.22825,16.3758,17.04912,17.45064,17.45064,17.09214,18.67534,19.38617,19.38617,19.54772,19.56531,20.90743,20.57696,21.31883,22.22258,22.93073,22.2563,22.65111,23.81558,23.95588,25.2396,25.74467,25.59035,25.52442,24.79515,23.81064,25.08686,26.61832,25.52442,26.90728,27.39995,28.27159,29.56011,29.36304,29.48432,29.92331,31.49822,31.77383,32.04945,31.73446,32.20694,35.08332,38.37952,39.56256,38.02053,36.34795,37.69418,38.29303,38.67258,39.20396,42.13077,44.231,38.78224,40.31733,38.36607,36.62215,39.11595,40.93834,38.63638,39.44952,35.73162,36.003,36.18392,42.83271,40.02847,41.34339,42.28194,44.10274,43.09848,46.9278,49.0677,50.27995,54.30428,55.22552,55.17703,57.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
